"","name","year","rating","title","helpful","unhelpful","text"
"1","FiRE010","Jul 3, 2021","10","User reviews",NA,NA,"I have never watched a show that is as consistently genuine and engaging as Breaking Bad. This is undoubtedly one of the greatest shows ever, and it consistently improves as it progresses.The Journeys of Walter White and Jesse Pinkman are unforgettable. These are some of the best-written characters to ever come from a pen-hitting paper.My praises for the acting and cinematography are unending. Some of the shots are intricate works of art, and I was rarely distracted by the acting. The performances are excellent to the extent that it feels improper to refer to them as performances.Overall, Breaking Bad consistently maintains a level of engagement and technical quality seen in only the best of movies, and in terms of tone, every intense moment is executed with excellence and always achieves the impact it reaches for.I feel like the show's plot in the early seasons lacks a certain level of complexity due to it not having a vast amount of plot threads, and the start is a bit slow-paced, but Breaking Bad is an absolute must-watch. If you have mixed feelings towards Season 1, trust me, it is only uphill from there.If there was ever a series you could call perfect, I think this might be it."
"2","ANONYMOUS","Mar 6, 2019","10","Really Great",NA,NA,"Re-Watched it 7 times and counting. I guess I liked it."
"3","bruhperson","Jul 29, 2021","10","It's ok I guess",NA,NA,"One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan."
"4","ANONYMOUS","Feb 18, 2020","10","99.1% pure",NA,NA,"I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen."
"5","KinoKoopaKid","Nov 8, 2021","10","The Best",NA,NA,"Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!"
"6","ANONYMOUS","May 30, 2019","10","Damn near perfect!",NA,NA,"When you finish the show you'll never be the same..I guarantee you"
"7","jehuschultz","Dec 8, 2022","10","Those days ain't gonna come back..",NA,NA,"Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!"
"8","ANONYMOUS","Nov 15, 2019","10","Absolutely Brilliant!!",NA,NA,"I wanna delete my brain and watch it again like I never knew it."
"9","Supermanfan-13","Jul 17, 2021","10","Best TV show ever made.",NA,NA,"Direction- PERFECT!!Screenplay-PERFECT!!Writing-PERFECT!!Score-PERFECT!!Cinematography-PERFECT!!Casting-PERFECT!!Beginning-PERFECT!!Climax-PERFECT!!Acting-BEYOND PERFECT!!Overall-(as I said) ABSOLUTE PERFECTION."
"10","ANONYMOUS","Dec 8, 2022","10","ABSOLUTE PERFECTION!!!!",NA,NA,"I have never watched any series which depicts emotions so exactly through camera angles, dialogues, screen play, perfect story line other than ""Breaking Bad"". We all are lucky enough to be born to watch series like this. Teaches us loyalty, family love, pain and many more things.More than anything this series teaches people to live life the different way and changes people mindset towarss life.There are scenes which will stay with you forever after this series and it will change the way you watch TV Series and life for that matter.I don't think I will ever see any series which will be better than this.Perfection!"
"11","manishsingh-03299","Sep 28, 2024","7","Once in a life time series",NA,NA,"In 29/9 and same time this Date is Final Episode Day ( Filena ) This is The Best Tv Show I have ever had season one a little slow like season two and season three but seasons four, Season Five Was Perfect Very Good Character have in this TV Show Like Walter White, Giancarlo Esposito, Mike, Hank And Jesse I Love All Of Them What'a Story Breaking Bad in My Heart And Stay in My Brain Forever I Will Miss This Tv Show Coming Soon But The Good Point is I'm not saw Better Call Saul Next Up is Better Call Saul I'm Happy to See The Best TV Show Ever This Date For My Is Very Special 29 9 2024 At 5:30AM I Awake To Watch Filena Final Episode Thank You Breaking Bad I Love You."
"12","ANONYMOUS","Feb 14, 2021","5","My Review For The Best TV Show Ever",NA,NA,"If i say that it was good , but not excellent , every fan will try to kill me , but it's my opinion"
"13","Rob1331","May 18, 2014","10","mmmmm",NA,NA,"People are STILL talking about Breaking Bad, long after the series finale, and I just wanted to write a bad review partly out of spite, but mostly out of confusion. I'm confused by the seemingly universal love for this show... I'm a big film/television fan, and I love large-scale, epic drama more than my own mother, but Breaking Bad just never really did it for me. I have watched every episode of Game of Thrones at least 4 times, and I could watch them again without nodding off once, but I struggled to make it through a season of BB spread out over the course of a month. It became a chore to watch it, like it was obligatory.I will give credit where it's due, and say that Bryan Cranston gave a phenomenal performance.That being said, outstanding performances are in no short supply in television these days, and they can be found in series that are - wait for it - more original. Yes, this series is praised for its originality, but the ""middle class parent turned drug dealer"" bit has been done before. Granted, not to the scale of BB, but the premise IS unoriginal."
"14","ANONYMOUS","Nov 12, 2017","10","Easily the most overrated television show in history...",NA,NA,"'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox"
"15","xpinerhd","Jan 11, 2014","10","Among the best and most addictive shows there is",NA,NA,"If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom.The show plays like the daydream fantasy of any underachieving, struggling middle class family man who's had to bury all his dreams (I mean: who wouldn't want to be a meth-kingpin for a little while?), before it turns into a nightmare. One could almost say that 'Heisenberg' is Walter White's 'Tyler Durden'(for those who don't get the reference: watch 'Fight Club' - you won't regret it).For pure entertainment value, this is simply the best show I've ever seen. Every single one of the main characters has already reached the status of a screen icon - when does that ever happen?! Most fun I've ever had watching a TV-show and an instant classic."
"16","ANONYMOUS","Nov 8, 2021","10","If you mix Scarface, Robin Hood and maybe Tyler Durden with enough meth - you'll get a mean cocktail called 'Heisenberg'",NA,NA,"Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u)."
"17","dhanushreddy-14919","Aug 11, 2021","10","By far the greatest show I've ever watched",NA,NA,"Nothing compares. Nothing comes close.I may currently be on my 20th dose of this show and it's still as addictive and beautiful as the first time."
"18","ANONYMOUS","May 19, 2019","10","in a category all on its own.",NA,NA,"I was waiting to see how GOT ended. It should be the greatest but they failed miserably in the finale season especially the last 3 (mainly the finale) episode.Writers need to take notes and be more like breaking bad. They had they ending planned out from the begging. They didn't try and build a massive brand or following behind the show and extend their seasons to do so. They stuck with their plan and created the greatest show we may ever see.Thank you for existing."
"19","tushv-31482","May 4, 2021","10","Since GOT is over, this is Officially the Greatest show ever made",NA,NA,"If there is any show deserves a 10/10, it's Breaking Bad, Simply the greatest."
"20","ANONYMOUS","Jun 23, 2021","10","Every bit as good as you've heard",NA,NA,"I usually don't comment on here but this show is the best I've seen in my life. And I've seen a lot of shows. The setting, character development and the actors... everything is pitch perfect. I'm on my fourth run through this show and I still love it. There's no other show out there I can watch this many times and still be excited. The dynamic between Walter and Jesse is awesome. I will watch this show once a year and I never get bored. Forget about the hyped shows you'll only watch once. This is the one and only you should watch right now If you haven't already. The only show that got me this excited in the last decade was Dark.Just look at the rating for breaking bad and you'll know what's up. Not many shows can hold up this rating for so long."
"21","arjanhylkema","Nov 7, 2016","10","User reviews",NA,NA,"As Planet Earth I was released about ten years ago, a visual improvement could have been expected due to the use of advanced technology, but man, did they up their game. The camera-work and the use of music were both truly superb, as well as the editing in which different sub- segments were all synced so well with the narrating of it by David Attenborough. It was nothing like a nature documentary, it was way beyond that. The short and different segments, were movies on itself. It contained all the different genres, from experiencing the thrill in a Hollywood-like impossible action-escape scenario to having a comical and truly euphoric moment of realization about the true extent of what nature has to offer. And this was all brought so incredibly well.If we had any more of such heavenly quality programs on TV, I would simply just glue my eyes to my TV and live out the rest of my life as a vegetable."
"22","ANONYMOUS","Nov 5, 2016","10",">10",NA,NA,"I have just finished watching the first episode on BBC 1 and I am amazed to find that Planet Earth II appears to have bettered the original! The photography is perfect and Attenborough's narration, both content and delivery, is unparalleled. This initial outing is titled ""Islands"" and whilst I don't want to dwell on the individual segments, the Racer Snakes vs baby Iguanas is probably the most terrifying piece of natural history film I have ever witnessed, not for the fainthearted or squeamish!The ""making of segment at the end of the documentary proper was particularly enjoyable and informative.This is what the BBC does best and long may it last."
"23","Wentloog","Nov 5, 2016","10","At once awe-inspiring and terrifying!",NA,NA,"What to say about Planet Earth II which has not already been said about so many other fantastic productions from BBC Nature?I've no idea.However: the production values are as always the very best in the business, the photography is likewise unmatched and it's all tied together with masterful insight and authority by David Attenborough, the man who through more than four decades has taught the planet more about the natural world than any ten others put together.Simply superb.The actual content? That you need to see for yourself."
"24","ANONYMOUS","Nov 9, 2016","10","Yet another masterpiece from BBC Nature & David Attenborough",NA,NA,"The original Planet Earth back in 2006 was an astounding and refreshing series that tore down the limits of documentary making. It was universally lauded as exceptional, and if you haven't seen it then you're missing a genuine treat.Planet Earth II is everything its predecessor was. And more.Ultra sharp photography, iris-piercing colour and focus, and on a decent home set up, a superbly immersive experience. It is almost hypnotic the way the gorgeous landscapes and action scenes are interwoven with a sublime soundtrack by Hans Zimmer.The BBC receives criticism sometimes for the way it spends 'tax payers' money', but surely not for this. Whether you're aged 8 or 80, this is the highest quality television that will bewilder and astound.Truly wondrous, and David Attenborough is a legend."
"25","john-m-madsen","Nov 5, 2016","10","Mesmerizing",NA,NA,"The professionalism of everyone involved in this glorious production is evident in every frame of what is seen and every second of what is heard. Most Hollywood blockbusters would struggle to compete with the cinematography on show here. Shot after shot seem almost impossible yet impossibly beautiful. Few things fill a viewer with simple awe but the first episode about islands does it and then some. The fact that it is all so enjoyable just adds to the experience. David Attenborough's narration is, as usual, superb.Whatever the cost it was worth it. The BBC has another hit."
"26","ANONYMOUS","Nov 8, 2016","10","Astounding",NA,NA,"Hello this is my first written review. Note that I haven't watched the first season (2006) so I can't compare both.This series will get you the feels when you read a good book, watched a good movie, or played a good game, because this is more than good.THIS IS A VERY BEAUTIFUL MASTERPIECE and of course with the danger of nature itself included.I don't know how they got those shots and the audio, even the music just like the rush when you first meet your crush, and the story with narration slaps you with the cold harsh of reality and the mesmerizing it gave. You are watching a book of life with enough drama and some bitter truth in every paradise, because life is never perfect.I'm very thankful for whomever people that makes this show to be realized, from the smallest task to the most dangerous.Thank you very much for this ineffable experience."
"27","thespookybuz","Nov 17, 2016","10","Dangerously beautiful",NA,NA,"By far the greatest and best nature documentaries ever made. Everyone needs to watch this. I have no idea how many hours it must have taken to film this, and it seems like the people who made this are totally out of their minds. The snow leopard scenes in episode 2 are so brilliant it's amazing. It's one of the rarest animals ever shot on film and they've managed to shoot so much of it. It's crazy. They deserve every little credit they get. I'm thoroughly impressed by the work put into this and i'm sure it surpasses the work put into any Hollywood action film ever created. I think I learned a lot more from these people, more than how much I learned from the content itself."
"28","ANONYMOUS","Nov 13, 2016","10","Greatest documentary ever created.",NA,NA,"This is without doubt the best thing I have seen on television for years. The photography, narration and general story telling of the lives of the animals is simply breath-taking.Episode 1 was animals that live on islands. As others have mentioned I have never seen such a more terrifying piece of natural-history photography in my life. I won't spoil it for anyone who hasn't seen it or caught it on YouTube but I never thought I would be shouting at the TV for Iguana's to run. Episode 2 was mountain living wildlife from Grizzly Bears coming out of hibernation to Snow Leopards. This programme is one of the few examples which envelopes you in its documentary telling. You are seeing things for the first time and you are left with wanting more. Roll on episode 3, jungles."
